Code;Traject
1;Harlingen Haven - Leeuwarden
2;Leeuwarden - Groningen
3;Groningen Losplaats - Waterhuizen Aansl.
4;Waterhuizen Aansl. - Zuidbroek
5;Zuidbroek - Nieuweschans Grens
6;Groningen - Sauwerd
7;Sauwerd - Winsum
8;Leeuwarden - Stavoren
9;Meppel - Leeuwarden
10;Haren - Groningen Losplaats
11;Assen - Haren
12;Meppel - Assen
13;Herfte Aansl. - Meppel
14;Zwolle - Herfte Aansl.
15;Zwolle - Kampen
17;Amersfoort Aansl. - Hattemerbroek
18;Deventer - Zwolle
19;Wierden - Almelo
20;Amersfoort Aansl. - Barneveld Noord
21;Barneveld Noord - Apeldoorn
22;Haren - Waterhuizen Aansl.
23;Apeldoorn - Deventer
24;Deventer - Wierden
25;Almelo - Hengelo
26;Hengelo - Oldenzaal Grens
27;Diemen - Duivendrecht
28;Hengelo - Enschede Grens
30;Zutphen - Deventer
31;Zutphen - Hengelo
32;Blauwkapel - Lunetten
33;Dieren - Zutphen
34;Velperbroek Aansl. - Dieren
35;Lunetten - De Haar Aansl.
36;Ede-Wageningen - Arnhem
37;Arnhem - Velperbroek Aansl.
38;Velperbroek Aansl. - Zevenaar
39;Zevenaar - Zevenaar Grens
40;Woudenberg-Scherpenzeel - Amersfoort
41;Arnhem - Elst
42;Vork - Kesteren
43;Kesteren - Geldermalsen
44;Ressen-Bemmel - Nijmegen
46;Meteren Aansl. - s Hertogenbosch
47;s Hertogenbosch - Nijmegen
48;Nijmegen Grens - Nijmegen
49;Nijmegen - Beugen
50;Amsterdam Muiderpoort - Diemen
51;s Hertogenbosch - Vught Aansl.
52;Beugen - Blerick
53;Vught Aansl. - Boxtel
54;Boxtel - Eindhoven
55;Blerick - Eindhoven
56;Venlo Grens - Venlo
57;Eindhoven - Weert
58;Budel Grens - Weert
59;Weert - Roermond
60;Roermond - Venlo
61;Roermond - Vlodrop Grens
62;Sittard - Roermond
63;Maastricht - Sittard
64;Sittard - Heerlen
65;Heerlen - Landgraaf
66;Landgraaf - Haanrade Grens
67;Heerlen - Schin op Geul
68;Simpelveld Grens - Simpelveld
69;Simpelveld - Schin op Geul
70;Schin op Geul - Maastricht
71;Eijsden - Maastricht
72;Maastricht - Maastricht Grens
73;Den Helder - Heerhugowaard
74;Heerhugowaard - Alkmaar
75;Alkmaar - Uitgeest
76;Santpoort Noord - Uitgeest
77;Santpoort Noord - IJmuiden
78;Uitgeest - Zaandam
79;Zaandam - Hoorn
80;Amsterdam Bijlmer - Nieuwersluis-Loenen
81;Zaandam - Amsterdam Singelgracht Aansl.
82;Haarlem - Santpoort Noord
83;Haarlem - Zandvoort aan Zee
84;Amsterdam Sloterdijk - Haarlem
85;Haarlem - Warmond
87;Weesp Aansl. - Hilversum
88;Hilversum - Baarn
89;Amersfoort - Amersfoort Aansl.
90;Den Dolder - Amersfoort
91;Den Dolder - Baarn
92;Baarn - Amersfoort
93;Blauwkapel - Den Dolder
94;Utrecht Centraal - Blauwkapel
95;Hilversum - Blauwkapel
96;Amsterdam Muiderpoort - Duivendrecht
97;Nieuwersluis-Loenen - Breukelen
98;Breukelen - Utrecht Centraal
99;Breukelen - Harmelen Aansl.
100;Utrecht Centraal - Harmelen Aansl.
101;Harmelen Aansl. - Woerden
102;Woerden - Alphen a/d Rijn
103;Alphen a/d Rijn - Leiden Centraal
104;Leiden Centraal - Den Haag Mariahoeve
105;Woerden - Gouda
106;Gouda - Moordrecht Aansl.
107;Moordrecht Aansl. - Den Haag Binckhorst
108;De Haar Aansl. - Ede-Wageningen
109;Rhenen - De Haar Aansl.
110;Rotterdam Kleiweg - Nootdorp Aansl.
112;Den Haag HS - Schiedam Centrum
114;Rotterdam Kleiweg - Rotterdam Westelijke Splitsing
115;Schiedam Centrum - Hoek van Holland Strand
116;Dordrecht - Rotterdam Barendrecht
117;Lunetten - Geldermalsen
118;Geldermalsen - Dordrecht
119;Lage Zwaluwe - Dordrecht
120;Lage Zwaluwe - Roosendaal
121;Breda - Lage Zwaluwe
122;Roosendaal - Breda
123;Breda - Tilburg
124;Tilburg - Vught Aansl.
125;Tilburg - Boxtel
126;Roosendaal - Roosendaal Grens
127;Roosendaal - Vlissingen
128;Diemen Aansl. - Weesp Aansl.
129;Terneuzen Aansl. - Terneuzen
130;Hulst Grens - Terneuzen Aansl.
131;Sas van Gent Grens - Terneuzen Aansl.
132;Moordrecht Aansl. - Rotterdam Kleiweg
133;Amsterdam Riekerpolder - Warmond
134;Gouda - Moordrecht Aansl.
135;Weesp Aansl. - Lelystad Industrieterrein
139;Zaandam - Amsterdam Sloterdijk
143;Nootdorp Aansl. - Den Haag Laan van NOI
144;Duivendrecht - Amsterdam Riekerpolder
145;Amsterdam Sloterdijk - Amsterdam Riekerpolder
146;Warmond - Leiden Centraal
148;Heerenveen - Groningen
152;Kijfhoek - Meteren Aansl.
155;Meteren Aansl. - Ressen-Bemmel
158;Ressen-Bemmel - Zevenaar
161;Lelystad Industrieterrein - Hattemerbroek
163;Rotterdam Lombardijen - Rotterdam Centraal
164;Prinsenbeek - Hazeldonk Grens
165;Kijfhoek - Moerdijkbrug
166;Rotterdam Westelijke Splitsing - Nieuw Vennep
200;Winsum - Roodeschool
201;Sauwerd - Delfzijl
203;Mariënberg - Emmen
204;Herfte Aansl. - Mariënberg
205;Mariënberg - Almelo
206;Zwolle - Wierden
208;Apeldoorn - Zutphen
209;Dieren - Apeldoorn
210;Zutphen - Winterswijk
211;Barneveld Noord - Ede-Wageningen
212;Winterswijk - Zevenaar
213;Boxtel - Uden
216;Heerhugowaard - Hoorn
217;Hoorn - Enkhuizen
221;Amstelveen - Amsterdam Haarlemmermeer
223;Amstelveen - Uithoorn
226;Gouda - Alphen a/d Rijn
228;Lage Zwaluwe - s Hertogenbosch
305;Stadskanaal Hoofdstation - Zuidbroek
309;Landgraaf - Simpelveld
400;Emmen - Weerdinge
405;Hengelo - Hengelo Zoutindustrie
433;Sittard - Born
435;Hoorn - Medemblik
437;Arnhem Goederenstation - Velperbroek Aansl.
438;Nieuw Amsterdam - Schoonebeek
451;Coevorden - Coevorden Grens
456;Groningen - Drachten
463;Stadskanaal Hoofdstation - Musselkanaal-Valthermond
466;Rotterdam Rijn- en Maashaven
467;Rotterdam Waalhaven Oost
468;Rotterdam Eemhaven
469;Pernis
470;Botlek
474;Rotterdam Europoort 1
475;Rotterdam Maasvlakte
476;Rotterdam Europoort 2
477;Rotterdam Europoort 3
478;Rotterdam Europoort 4
479;Maasvlakte 2
485;Amsterdam Hemhaven (gebied)
486;Amsterdam Westhaven (gebied)
490;Amsterdam Houtrakpolder (gebied)
501;Groningen
502;Meppel
503;Deventer
504;Heerlen
505;Amersfoort Aansl.
506;Amersfoort
507;Velperbroek Aansl.
508;Arnhem
509;Baarn
510;Elst
511;Vork
512;Ressen-Bemmel
513;Geldermalsen
514;Nijmegen
515;Vught Aansl.
516;Blerick
517;Venlo
518;Weert
519;Roermond
520;Maastricht
521;Schin op Geul
522;Uitgeest
523;Amsterdam Sloterdijk
524;Zaandam
525;Amsterdam Singelgracht Aansl.
526;Amsterdam Muiderpoort
527;Haarlem
528;Hilversum
529;Breukelen
530;Den Dolder
531;Utrecht Centraal
532;Harmelen Aansl.
533;Woerden
534;Leiden Centraal
535;Amsterdam Bijlmer Arena
536;Den Haag HS
537;Moordrecht Aansl.
538;Rotterdam Kleiweg
539;Schiedam Centrum
540;Rotterdam Westelijke Splitsing
541;Weesp Aansl.
542;Dordrecht
543;Hengelo
544;Breda
545;Roosendaal
546;Blauwkapel
547;Lunetten Aansl.
548;Waterhuizen Aansl.
549;Haren
550;Leeuwarden
551;Tilburg
552;Groningen Losplaats
553;Sittard
555;Rotterdam Centraal
556;Santpoort Noord
557;Terneuzen Aansl.
558;Amsterdam Riekerpolder
559;Warmond
560;Den Haag Centraal
561;Den Haag Laan van NOI
562;De Haar Aansl.
563;Den Haag Mariahoeve
564;Den Haag Binckhorst
565;Nootdorp Aansl.
585;Diemen Aansl.
586;Amsterdam Centraal
587;Diemen
588;Amsterdam Dijksgracht
589;Duivendrecht
600;Sauwerd
602;Herfte Aansl.
603;Zwolle
604;Hattemerbroek
605;Wierden
606;Almelo
607;Winterswijk
608;Apeldoorn
609;Zutphen
610;Dieren
611;Zevenaar
612;Barneveld Noord
613;Ede-Wageningen
614;s Hertogenbosch
617;Boxtel
618;Eindhoven
619;Heerhugowaard
620;Alkmaar
621;Nieuwersluis-Loenen
623;Alphen a/d Rijn
624;Gouda
625;Lage Zwaluwe
626;Hoorn
653;Zuidbroek
654;Assen
661;Landgraaf
662;Simpelveld
663;Rotterdam Barendrecht
664;Rotterdam Lombardijen
666;Meteren Aansl.
667;Prinsenbeek
751;Mariënberg
756;Beugen
775;Nieuweschans Grens - Ihrhove (D)
776;Coevorden Grens - Bentheim (D)
777;Oldenzaal Grens - Bad Bentheim (D)
778;Gronau (D) - Enschede Grens
779;Emmerich (D) - Zevenaar Grens
780;Venlo Grens - Keulen (D)
781;Aachen (D) - Herzogenrath (D)
782;Herzogenrath (D)
783;Vetschau (D) - Simpelveld Grens
784;Visé (B) - Eijsden Grens
785;Lanaken (B) - Maastricht Grens
786;Neerpelt (B) - Budel Grens
787;Hazeldonk Grens - Noorderkempen (B)
788;Roosendaal Grens - Essen (B)
789;Zelzate (B) - Sas van Gent Grens
790;Gent (B) - Zelzate (B)
801;Moerdijk Industrieterrein
802;Utrecht Industrieterrein Lage Weide
803;Delfzijl Stamlijn Havenschap
804;Beverwijk Hoogovens, Van Gelder
805;Dordrecht Zeehaventerrein
808;VAM-terrein Wijster
810;Dordrecht Industrieterrein Aansl. De Staart
811;Zwolle Industrieterrein Katwolde
814;Maastricht Racc. Beatrixhaven
815;Roodeschool Eemshaven
817;Vlissingen Sloehaven
818;Terneuzen Dow Chemical
819;Etten-Leur Gem. Industrieterrein
820;Almelo Dollegoor
822;Zwijndrecht Groote Lindt
823;Oosterhout Weststad
825;Roosendaal Industrieterrein
828;Tiel Gem. Stamlijn
831;Oss Racc. Elzenburg
837;Alphen a/d Rijn Industrieterrein Rijnhaven
839;Tilburg de Loven
842;s Hertogenbosch Gem. Stamlijn
844;Emmen Emmtec
848;Hengelo Akzo Zout Chemie
850;Roosendaal Borchwerf
851;Born Franciscushaven
852;Axel Axelse Vlakte
855;Venlo Tradeport
857;Almelo Gem. Stamlijn
858;Arnhem Gem. Stamlijn
859;Sas van Gent Cerestar
861;Delden SERVO
862;Budel Zinkfabriek
900;Amersfoort Hoofdwerkplaats
901;Haarlem Hoofdwerkplaats
902;Tilburg Hoofdwerkplaats
908;Crailoo Bovenbouwwerkplaats
910;Linne Grinderij
913;Onnen Lijnwerkplaats
917;Amsterdam Lijnwerkplaats
920;Zwolle Lijnwerkplaats
922;Leidschendam Lijnwerkplaats
924;Kijfhoek
926;Zwolle Rangeerterrein
927;Watergraafsmeer
935;Haarlem Goederenstation
937;Onnen Rangeerterrein
938;CUP Valburg
940;Amersfoort Bokkeduinen
950;Rotterdam Zuid Goederen - Rotterdam Maasvlakte
951;Kortsluitroute
952;Botlektunnel
CG01;Maasvlakte - Venlo
CG02;Maasvlakte - Zevenaar
CG03;Kijfhoek - Oldenzaal
CG04;Maasvlakte - Onnen
CG05;Kijfhoek - Lutterade DSM
CG06;Beverwijk Hoogovens - Roosendaal/Sloe
CG07;Kijfhoek - Roosendaal/Sloe
CG08;Uitgeest/Haarlem - Zevenaar
CG09;Sloe - Venlo
CG10;Venlo -Lutterade DSM
CG11;Amsterdam Westhaven - Oldenzaal
CG12;Beverwijk Hoogovens - Zevenaar
CG13;Roosendaal - Oldenzaal
CR01A;Groningen/Leeuwarden - Rotterdam
CR01B;Groningen/Leeuwarden - Den Haag
CR02A;Enschede - Den Haag
CR02B;Enschede - Schiphol
CR02C;Enschede - Amsterdam
CR03;Utrecht - Heerlen/Maastricht
CR04;Den Helder - Emmerich
CR05;Amsterdam - Vlissingen
CR06;Rotterdam - Venlo
CR07;Zwolle - Roosendaal
Reg N;Noordoost
Reg RN;Randstad Noord
Reg RZ;Randstad Zuid
Reg Z;Zuid
Reg NL;Nederland
